,gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,class
4,ENSG00000000003.15,TSPAN6,protein_coding,5175,2582,2594,58.4397,16.4625,16.065,0
5,ENSG00000000005.6,TNMD,protein_coding,85,52,33,2.9499,0.831,0.8109,0
6,ENSG00000000419.13,DPM1,protein_coding,2406,1194,1212,102.1078,28.7639,28.0692,0
7,ENSG00000000457.14,SCYL3,protein_coding,2222,1629,1631,16.5362,4.6583,4.5458,0
8,ENSG00000000460.17,C1orf112,protein_coding,476,808,782,4.0842,1.1505,1.1227,0
9,ENSG00000000938.13,FGR,protein_coding,452,227,225,6.846,1.9285,1.8819,0
10,ENSG00000000971.16,CFH,protein_coding,4100,2040,2060,26.3179,7.4138,7.2347,0
11,ENSG00000001036.14,FUCA2,protein_coding,2401,1992,2000,43.5818,12.2771,11.9806,0
12,ENSG00000001084.13,GCLC,protein_coding,2995,1990,1993,17.8017,5.0148,4.8936,0
13,ENSG00000001167.14,NFYA,protein_coding,3373,1846,1920,45.3365,12.7713,12.4629,0
14,ENSG00000001460.18,STPG1,protein_coding,944,556,499,5.6815,1.6005,1.5618,0
15,ENSG00000001461.17,NIPAL3,protein_coding,4738,2379,2470,25.8299,7.2763,7.1006,0
16,ENSG00000001497.18,LAS1L,protein_coding,3758,1900,1862,15.3324,4.3192,4.2149,0
17,ENSG00000001561.7,ENPP4,protein_coding,1759,888,871,19.4019,5.4655,5.3335,0
18,ENSG00000001617.12,SEMA3F,protein_coding,5839,2951,2889,61.9757,17.4586,17.037,0
19,ENSG00000001626.16,CFTR,protein_coding,51,17,34,0.2628,0.074,0.0722,0
20,ENSG00000001629.10,ANKIB1,protein_coding,5886,2912,2993,40.8042,11.4946,11.217,0
21,ENSG00000001630.17,CYP51A1,protein_coding,334,168,174,4.848,1.3657,1.3327,0
22,ENSG00000001631.16,KRIT1,protein_coding,451,236,232,3.7237,1.049,1.0236,0
23,ENSG00000002016.18,RAD52,protein_coding,815,413,402,9.271,2.6116,2.5486,0
24,ENSG00000002079.14,MYH16,transcribed_unitary_pseudogene,7,5,2,0.0569,0.016,0.0156,0
25,ENSG00000002330.14,BAD,protein_coding,621,1242,1269,18.6241,5.2464,5.1197,0
26,ENSG00000002549.12,LAP3,protein_coding,6115,3105,3010,82.7563,23.3125,22.7496,0
27,ENSG00000002586.20,CD99,protein_coding,6569,3078,3492,69.2647,19.512,19.0408,0
28,ENSG00000002586.20_PAR_Y,CD99,protein_coding,0,0,0,0.0,0.0,0.0,0
29,ENSG00000002587.10,HS3ST1,protein_coding,369,175,194,2.5422,0.7162,0.6989,0
30,ENSG00000002726.21,AOC1,protein_coding,9,3,6,0.1218,0.0343,0.0335,0
31,ENSG00000002745.13,WNT16,protein_coding,4,2,2,0.0628,0.0177,0.0173,0
32,ENSG00000002746.15,HECW1,protein_coding,111,69,59,0.408,0.1149,0.1122,0
33,ENSG00000002822.15,MAD1L1,protein_coding,14,11,4,0.0992,0.0279,0.0273,0
34,ENSG00000002834.18,LASP1,protein_coding,28864,17320,17299,209.3923,58.9861,57.5616,0
35,ENSG00000002919.15,SNX11,protein_coding,2305,1205,1100,28.5677,8.0476,7.8532,0
